exp.ID,P.layer,P.row,P.col,layer,row,col,replicate,replicate.raw,Generation,treat,treat.1,ecotype,id,flt,height,diam,biomass,fruit,rm
194,9,9_2,10,7,4,7,5,5,F4,Cd1,Cd1,Fei-0,626,36,43.8,11.2,443.4,256,FALSE
195,11,11_7,9,14,2,1,6,6,F4,Cd1,Cd1,Fei-0,863,44,43.4,16.2,867.8,440,FALSE
196,7,7_2,14,14,2,5,4,4,F4,Cd1,Cd1,Ler-0,462,16,27.9,7.9,286.4,345,FALSE
197,9,9_2,3,4,3,10,5,5,F4,Cd1,Cd1,Ler-0,619,19,22.2,3,86.1,121,FALSE
198,11,11_7,10,11,4,1,6,6,F4,Cd1,Cd1,Ler-0,864,19,25.9,5.6,NA,217,FALSE
199,7,7_2,1,7,5,12,4,4,F4,Cd1,Cd1,Sap-0,449,29,42.5,7.1,241.9,196,FALSE
200,9,9_2,6,14,2,12,5,5,F4,Cd1,Cd1,Sap-0,622,29,44.1,8.2,296.1,255,FALSE
201,11,11_7,13,3,5,14,6,6,F4,Cd1,Cd1,Sap-0,867,42,46,NA,163.8,223,FALSE
202,7,7_2,5,12,4,11,4,4,F4,Cd1,Cd1,Tol-0,453,45,38.6,10.1,214.6,136,FALSE
203,9,9_2,9,6,6,8,5,5,F4,Cd1,Cd1,Tol-0,625,49,41.7,9.8,437,120,FALSE
204,11,11_7,3,13,5,2,6,6,F4,Cd1,Cd1,Tol-0,857,44,48.2,11.3,621,170,FALSE
205,7,7_2,10,9,1,9,4,4,F4,Cd1,Cd1,TRE-1,458,44,42.4,12.3,581.8,97,FALSE
206,9,9_2,13,7,2,12,5,5,F4,Cd1,Cd1,TRE-1,629,38,59.6,8.9,434.8,223,FALSE
207,11,11_7,14,1,1,6,6,6,F4,Cd1,Cd1,TRE-1,868,50,24.6,8.3,202.1,41,FALSE
208,7,7_2,7,13,2,5,4,4,F4,Cd1,Cd1,Tri-0,455,41,48.2,NA,NA,185,FALSE
209,9,9_2,1,13,6,2,5,5,F4,Cd1,Cd1,Tri-0,617,28,40.5,10.2,142.3,249,FALSE
210,11,11_7,4,1,3,4,6,6,F4,Cd1,Cd1,Tri-0,858,31,44.2,9.3,187.2,342,FALSE
211,7,7_2,3,4,3,6,4,4,F1,Cd1,Cd1,Abd-0,451,33,32.7,9.7,309.8,333,FALSE
212,9,9_2,5,2,4,2,5,5,F1,Cd1,Cd1,Abd-0,621,41,40.2,9.5,431.7,203,FALSE
213,11,11_7,2,9,4,14,6,6,F1,Cd1,Cd1,Abd-0,856,44,44.3,11.8,625.3,216,FALSE
214,7,7_2,12,9,6,12,4,4,F1,Cd1,Cd1,Ang-0,460,26,35.6,5.7,141.4,177,FALSE
