layer,P.layer,P.row,replicate,Row,Col,treat.1,Generation,ecotype,treat,flt,height,diam,biomass,fruit,rm,id
10,7,7_7,4,4,2,Salt2,F3,aaCol-0,Salt2,28,52,11,148.4,126,FALSE,523
3,8,8_1,4,2,8,Drought,F3,aaCol-0,Drought,29,45,11,303.2,263,FALSE,536
10,8,8_2,4,1,10,Nutrient1,F3,aaCol-0,Nutrient1,28,48,13,364.5,245,FALSE,548
10,8,8_3,4,6,5,Nutrient2,F3,aaCol-0,Nutrient2,29,40,11.1,225.1,156,FALSE,573
3,8,8_6,4,6,9,Leaf,F3,aaCol-0,Leaf,32,48.5,12,552.1,NA,FALSE,583
10,8,8_7,4,5,4,actr,F3,aaCol-0,actr2,28,44.6,10,208.8,133,FALSE,598
5,9,9_1,5,5,11,actr,F3,aaCol-0,actr1,35,35.7,8.7,178.2,88,FALSE,606
7,9,9_2,5,1,1,Cd1,F3,aaCol-0,Cd1,36,55.4,10.2,206.2,93,FALSE,624
5,9,9_3,5,4,3,Cd2,F3,aaCol-0,Cd2,32,40.7,9.2,234.7,131,FALSE,640
7,9,9_4,5,1,3,Salt1,F3,aaCol-0,Salt1,33,37,11.8,274.3,170,FALSE,646
7,9,9_5,5,5,9,Salt2,F3,aaCol-0,Salt2,30,53.7,12.3,153.2,154,FALSE,667
7,9,9_6,5,6,6,JA,F3,aaCol-0,JA,33,41.4,10.7,212.9,98,FALSE,682
7,9,9_7,5,3,12,JActr,F3,aaCol-0,JActr,27,46,10.7,211.5,137,FALSE,693
5,10,10_1,5,1,10,actr,F3,aaCol-0,actr2,30,41.4,12.1,288.6,133,FALSE,704
7,10,10_2,5,4,6,Drought,F3,aaCol-0,Drought,30,42.6,11.7,309.4,135,FALSE,719
5,10,10_3,5,2,9,Nutrient2,F3,aaCol-0,Nutrient2,28,39.2,10,250.1,129,FALSE,742
7,10,10_4,5,4,8,Leaf,F3,aaCol-0,Leaf,32,42.5,10.2,192.1,151,FALSE,748
7,10,10_5,5,1,2,Nutrient1,F3,aaCol-0,Nutrient1,32,40.1,11.7,203,166,FALSE,764
9,11,11_1,6,6,13,actr,F3,aaCol-0,actr1,31,41,10.7,196.5,111,FALSE,774
2,11,11_2,6,5,12,JActr,F3,aaCol-0,JActr,31,42,11.7,369.6,211,FALSE,791
9,11,11_3,6,3,3,JA,F3,aaCol-0,JA,28,48.4,12,419.2,228,FALSE,807
9,11,11_4,6,4,7,Cd2,F3,aaCol-0,Cd2,30,47.5,10.8,305.5,189,FALSE,819
9,11,11_5,6,5,10,Salt1,F3,aaCol-0,Salt1,28,47.2,8.6,242.2,182,FALSE,840
9,11,11_6,6,6,9,Salt2,F3,aaCol-0,Salt2,27,54,9,261.8,208,FALSE,842
2,11,11_7,6,4,1,Cd1,F3,aaCol-0,Cd1,34,58.5,13.9,335.5,224,FALSE,865
2,12,12_3,6,5,5,Drought,F3,aaCol-0,Drought,31,44,12.1,317.2,200,FALSE,870
9,12,12_4,6,2,5,Nutrient2,F3,aaCol-0,Nutrient2,27,46.2,12.7,336.4,206,FALSE,887
9,12,12_5,6,1,11,actr,F3,aaCol-0,actr2,31,48,13.4,346.6,229,FALSE,904
2,12,12_6,6,6,11,Leaf,F3,aaCol-0,Leaf,30,41.7,13.2,NA,179,FALSE,918
2,12,12_7,6,2,12,Nutrient1,F3,aaCol-0,Nutrient1,39,45.6,12.6,606.7,213,FALSE,928
12,6,6_1,3,3,8,Leaf,F3,aaCol-0,Leaf,27,48,13,489,283,FALSE,948
12,6,6_2,3,3,11,Nutrient1,F3,aaCol-0,Nutrient1,30,50,14.5,492.5,321,FALSE,957
8,6,6_3,3,2,9,Drought,F3,aaCol-0,Drought,28,40.5,9.2,133.8,96,FALSE,969
12,6,6_5,3,5,3,Nutrient2,F3,aaCol-0,Nutrient2,28,40.7,13.5,387,156,FALSE,988
12,6,6_7,3,5,13,actr,F3,aaCol-0,actr2,30,37.5,10.2,238.9,143,FALSE,1004
9,1,1_1,1,3,10,JA,F4,aaCol-0,JA,25,36.6,9.3,154,126,FALSE,4
5,1,1_2,1,4,5,Salt1,F4,aaCol-0,Salt1,30,31.5,8,125.4,88,FALSE,17
9,1,1_3,1,5,12,Salt2,F4,aaCol-0,Salt2,26,37.9,7.5,153.9,122,FALSE,40
9,1,1_4,1,3,7,Cd2,F4,aaCol-0,Cd2,29,37.6,7.9,143.9,82,FALSE,54
9,1,1_5,1,3,12,actr,F4,aaCol-0,actr1,27,37.7,9.9,154.8,125,FALSE,69
9,1,1_6,1,2,2,Cd1,F4,aaCol-0,Cd1,32,36.1,7.9,148.8,95,FALSE,83
9,1,1_7,1,1,14,JActr,F4,aaCol-0,JActr,37,40.6,10.1,209.7,101,FALSE,85
9,2,2_1,1,2,5,Nutrient2,F4,aaCol-0,Nutrient2,29,36.5,7.1,147.8,100,FALSE,105
9,2,2_4,1,1,11,Drought,F4,aaCol-0,Drought,29,40.5,8.3,143.4,106,FALSE,140
5,2,2_5,1,6,3,Leaf,F4,aaCol-0,Leaf,26,32.8,9.1,149.1,150,FALSE,148
5,2,2_6,1,4,8,Nutrient1,F4,aaCol-0,Nutrient1,30,38,6.4,142.8,104,FALSE,158
7,3,3_1,2,5,12,JA,F4,aaCol-0,JA,27,40.2,6.3,124.5,137,FALSE,173
7,3,3_2,2,5,7,Salt2,F4,aaCol-0,Salt2,35,34.6,7.9,142.7,116,FALSE,186
7,3,3_3,2,5,14,Salt1,F4,aaCol-0,Salt1,30,41.5,8.1,94.3,102,FALSE,204
4,3,3_4,2,4,6,Cd2,F4,aaCol-0,Cd2,30,40.5,8.8,240.1,157,FALSE,219
4,3,3_5,2,5,9,actr,F4,aaCol-0,actr1,28,42.4,7.5,224.6,171,FALSE,238
4,3,3_6,2,2,13,JActr,F4,aaCol-0,JActr,29,40.8,9.1,172.6,138,FALSE,240
4,3,3_7,2,4,11,Cd1,F4,aaCol-0,Cd1,27,56.4,10.4,202,182,FALSE,258
7,4,4_1,2,2,14,Drought,F4,aaCol-0,Drought,27,36.1,6.1,93.7,112,FALSE,270
4,4,4_3,2,4,7,Leaf,F4,aaCol-0,Leaf,26,34.1,9.6,212.2,119,FALSE,288
4,4,4_4,2,4,5,Nutrient1,F4,aaCol-0,Nutrient1,27,47.2,8.7,NA,185,FALSE,304
4,4,4_6,2,5,13,actr,F4,aaCol-0,actr2,31,38,9.2,175.9,108,FALSE,320
7,4,4_7,2,2,3,Nutrient2,F4,aaCol-0,Nutrient2,28,37.4,6.2,137.1,160,FALSE,330
1,5,5_1,3,6,9,Salt1,F4,aaCol-0,Salt1,28,37.6,7.4,159.5,158,FALSE,338
1,5,5_2,3,1,8,JActr,F4,aaCol-0,JActr,28,42.6,6.2,176.6,185,FALSE,363
12,5,5_3,3,5,8,Cd1,F4,aaCol-0,Cd1,32,40.2,10.4,244.6,116,FALSE,367
12,5,5_4,3,3,14,Cd2,F4,aaCol-0,Cd2,26,28,5,139.7,160,FALSE,390
1,5,5_5,3,4,1,JA,F4,aaCol-0,JA,38,42.8,7.1,140.9,123,FALSE,401
1,5,5_6,3,5,5,Salt2,F4,aaCol-0,Salt2,30,34.3,7.5,114.2,132,FALSE,413
1,5,5_7,3,3,5,actr,F4,aaCol-0,actr1,32,44.5,7.8,138.8,76,FALSE,434
8,7,7_1,4,2,7,Cd2,F4,aaCol-0,Cd2,27,37.6,7.4,115.1,100,FALSE,438
8,7,7_2,4,5,10,Cd1,F4,aaCol-0,Cd1,25,34.2,7.9,176.1,126,FALSE,457
